"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"98年 10月底","合計",28924,11480,2916,1371,13155,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 10月底","男",6993,975,215,1114,4688,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 10月底","女",21931,10505,2701,257,8467,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 11月底","合計",28662,11448,2885,1325,13002,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 11月底","男",6852,949,213,1074,4615,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 11月底","女",21810,10499,2672,251,8387,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 12月底","合計",28570,11478,2873,1265,12953,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 12月底","男",6749,936,205,1023,4584,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 12月底","女",21821,10542,2668,242,8369,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年底","合計",27534,11150,1848,1078,13458,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
